data_type|abbreviation|identifier_id
Drug Activity|act|drug NSC or name
DNA Copy Number|cop|gene name
DNA Mutation|mut|gene name
DNA Methylation 450K|met|gene name
DNA Methylation 850K|mth|gene name
Body DNA Methylation 850K|bmt|gene name
DNA Methylation RRBS|rrb|gene name
Microarray RNA Expression using z-score|exp|gene name
Microarray RNA Expression using Avg. log2|xai|gene name
RNA-seq Expression using log2.FPKM+1|xsq|gene name
RPLA Protein|pro|protein/gene name
SWATH-MS Protein|swa|protein/gene name
MicroRNA|mir|microRNA ID
CRISPR|cri|gene name
Metabolomics|mtb|metabolite
Histone H3K27ac|his|gene name
Histone H3K4me3|hs4|gene name
Miscellaneous Phenotypic|mda|Miscellaneous phenotypic name
